Twitter Handle of CEO
tim_cook
BillGates
elonmusk
richardbranson
bchesky
anandmahindra
Benioff
Bill_Gross
BoeingCEO
eldsjal
JohnLegere
kevinrose
levie
lloydblankfein
MichaelDell
rupertmurdoch
satyanadella
tonyfernandes
WaltBettinger
marissamayer
ericschmidt
